campaign_id,brand,industry,target,city,budget,duration_days,selected_panels,performance_score,estimated_reach,conversion_proxy
ea7b5c2d-e4af-4d1d-bf66-94f30c9679d6,Bellea,banque,étudiants,Marseille,204831,9,128,67.15,3462502,77.18
1f4b67f9-a8b8-459f-ac00-645c1863d464,Luxeor,beauté,touristes,Marseille,427731,21,263,96.4,1561368,123.1
914be8a0-81f2-4296-8ae7-2e264135aeef,Maison Nova,automobile,étudiants,Paris,393170,29,535,56.65,427615,61.29
637beb27-a486-4b8a-9504-e494208ba070,AutoMotion,beauté,grand public,Nantes,438111,18,565,59.49,2642266,35.37
e211150e-ba09-4189-ad32-c063e302c083,Maison Nova,retail,CSP+,Toulouse,261243,28,592,45.92,3322091,57.83
938177f8-c0d5-446c-823f-eabc10c414c3,AutoMotion,banque,touristes,Lyon,299591,17,396,47.8,234587,40.02
424cf32e-28b9-4104-8f76-2bf707b7ba55,Carrefour Bio,automobile,touristes,Lyon,366091,14,130,93.87,2632179,137.98
f53ba812-4e4a-4baa-912e-913775f62ac3,Bellea,banque,étudiants,Bordeaux,224282,43,353,58.6,2057140,52.63
3202d718-d574-4a93-9060-a3db64a3d322,Fresh&Go,automobile,CSP+,Bordeaux,87855,11,536,90.45,1527394,73.03
d2d1e368-4ba8-415b-b45f-bd79609449bc,Luxeor,banque,grand public,Nantes,318447,26,85,91.03,712723,71.14
04fba4f0-d8e1-437c-89c8-ac7899203730,Carrefour Bio,retail,grand public,Toulouse,396052,45,303,80.77,2205283,121.32
b9f95da2-25f5-46da-8d45-89175f1df7d5,Luxeor,food,familles,Toulouse,307325,44,584,57.62,1716327,67.31
c049fafe-289e-47da-ab90-3b32424c92a7,Bellea,luxe,touristes,Nantes,278671,42,82,77.52,2027023,47.52
421c60cf-a9bc-4685-82ad-b56ca2ba3d7a,Maison Nova,santé,étudiants,Nantes,465574,14,527,63.32,866134,81.67
dbbb0621-cd62-46d6-8fb5-8fb0a3ddddce,AutoMotion,sport,touristes,Bordeaux,349684,30,26,55.02,2924052,78.44
faaa7f81-bb24-4a26-a073-ad3581b5a1d7,Luxeor,food,familles,Bordeaux,484394,19,450,66.02,2658542,40.52
06ff0fdb-6133-4d64-b960-bf7d788a1e3a,UrbanFit,luxe,jeunes actifs,Bordeaux,173684,37,86,54.72,2055981,75.36
c84d7568-7470-4497-b8a2-1b36ab86bf98,TechNova,santé,étudiants,Lyon,111735,14,96,80.97,3115075,97.16
9d831c0e-e5b2-4c55-bb42-cce08a95852e,Luxeor,luxe,touristes,Bordeaux,179026,6,375,60.98,652136,70.69
e85dcf26-7df7-4df5-b4bb-37e096f37f69,Fresh&Go,banque,familles,Nantes,336462,33,589,66.96,734665,36.86
fcf3f144-a2f1-4970-ac39-72b059433cbe,Luxeor,automobile,étudiants,Lille,498418,23,35,75.83,2553737,101.97
e4a9dfae-7db3-408e-93c3-3169efb97b61,Bellea,luxe,jeunes actifs,Toulouse,281501,9,151,88.73,124839,64.62
704ca8ba-afbf-4d6c-86e4-6664d6b7363a,Bellea,automobile,grand public,Bordeaux,286719,17,431,89.15,2296995,118.17
95319fe9-8299-4dc7-beec-deb5fdf9f161,AutoMotion,tech,grand public,Paris,149503,42,373,61.21,1781391,70.38
3f2ecc40-4fa0-4bfe-b389-de7c97bf3f72,TechNova,beauté,étudiants,Lyon,187952,15,256,91.45,2606805,127.64
ef8a4327-e8a7-4c36-9d47-1b7efc03482f,Fresh&Go,retail,CSP+,Lille,319266,5,72,94.94,2050649,145.1
998f010c-1072-4bfe-ba0b-b8e0f8c8c36e,AutoMotion,beauté,familles,Nantes,120817,30,448,53.16,947357,78.6
fb69e1dd-9353-4e2b-888e-40a056a7a9fa,Bellea,beauté,étudiants,Paris,200302,14,567,89.52,2341414,74.01
185fc3d2-07d1-434c-988c-796c9b74103f,Maison Nova,banque,touristes,Toulouse,48599,15,267,71.67,2662157,75.37
c36188c6-2b5c-41a0-bf7c-e5fbb7e43c8f,Bellea,automobile,touristes,Toulouse,146741,30,464,71.07,2360422,59.62
d954ea86-4d64-42d8-93d9-0a1b1ca83e75,AutoMotion,beauté,grand public,Toulouse,442608,28,339,67.78,1023239,36.66
7c9cba59-50cd-449b-9383-69160003b8a3,AutoMotion,tech,grand public,Bordeaux,391526,12,545,91.24,1007912,153.33
639c77db-a929-41ac-9d89-8e0a8a503d3d,Carrefour Bio,beauté,étudiants,Nantes,193158,24,485,55.61,1837612,40.54
82b947b8-2f51-4d89-ac2a-d894b6769ddf,Fresh&Go,retail,grand public,Bordeaux,454851,11,308,60.22,2784523,44.05
defb366f-2ab9-4c72-8149-b58591fc6590,Maison Nova,sport,jeunes actifs,Lyon,418831,10,355,87.32,1464329,71.86
940efcb9-45a9-4526-a676-c4b4a08f2874,Carrefour Bio,food,grand public,Lyon,407037,30,183,69.34,1471293,84.75
ef78ebd9-1fe1-404f-a774-3ac538576026,AutoMotion,beauté,étudiants,Nantes,156159,16,234,90.76,2709398,123.31
4c41ea3b-00d5-4acc-9dd0-67ee6ee70237,AutoMotion,sport,grand public,Paris,284969,4,108,73.47,3372928,120.22
07b046c2-4db9-472a-91d8-fe69df556a35,Bellea,beauté,touristes,Marseille,469924,18,32,88.68,3107939,64.02
168aaac1-f82e-43f8-957d-1223a0eadb55,Maison Nova,santé,touristes,Paris,473766,40,394,96.18,329318,150.79
3d376d6d-7785-439d-a9d2-9d4138def7e6,UrbanFit,tech,grand public,Bordeaux,117801,36,200,80.13,1782769,128.82
