panel_id,city,latitude,longitude,district,format,screen_type,visibility_score,daily_traffic,audience_csp_plus,audience_young_active,availability,maintenance_status,mall_name,poi_nearby,price_per_day
16640c33-db2d-4d70-8630-85666703609d,Toulouse,43.542513,1.482848,Centre,DOOH 2m2,digital,58.47,19489,75.24,65.75,True,ok,Carmila Shopping,cinéma,556
ab17e2df-fc77-4d42-be02-2722fe595833,Bordeaux,44.854123,-0.569401,Premium,DOOH 8m2,street_digital,84.38,72626,51.46,48.69,True,ok,Grand Centre,stade,649
f98ba66c-6498-4802-9d3d-6edb11521ee8,Lyon,45.71845,4.877859,Zone Commerciale,Grand format digital,digital,50.62,50997,27.25,78.56,True,ok,Retail Avenue,aéroport,241
cfd8eaf8-ed56-4787-abc7-0efa46b4c738,Bordeaux,44.804709,-0.558618,Centre,DOOH 8m2,digital,93.7,48600,63.3,67.84,False,ok,Retail Avenue,université,649
b649018c-0ec9-4fbb-a023-0b16f233f07a,Lille,50.65091,3.035673,Gare,Grand format digital,premium_digital,65.36,28660,70.26,67.64,True,maintenance,Carmila Shopping,aéroport,1026
e0185177-5200-4454-83a4-2d688b80bbbc,Lille,50.592392,3.125363,Premium,Totem digital,street_digital,82.85,29985,71.35,78.21,True,ok,Grand Centre,gare,215
0132ed65-51a6-4d8d-a096-1b743365ee63,Lyon,45.830102,4.846449,Gare,DOOH 8m2,mall_screen,84.49,29069,69.16,44.67,True,ok,Galerie Marchande,université,957
db2fc161-3f63-4652-8166-19c008e15f35,Bordeaux,44.821704,-0.624109,Premium,Écran galerie,digital,99.86,67984,57.01,71.68,True,ok,Retail Avenue,centre commercial,861
b73944ef-f902-47d6-84bd-e2321f90d3de,Bordeaux,44.917179,-0.574542,Université,Totem digital,digital,98.41,2704,71.02,23.59,True,ok,Grand Centre,stade,970
20e09b19-1a98-434d-9633-0ab1d0a2e7c5,Lyon,45.756596,4.908311,Quartier Affaires,Grand format digital,premium_digital,93.17,35722,92.89,72.15,True,ok,Carmila Shopping,aéroport,845
4c3c714e-88a8-4052-8284-463d0791b34b,Nantes,47.164248,-1.48104,Premium,Totem digital,premium_digital,95.73,1274,64.92,51.65,False,ok,Carrefour City Mall,stade,573
c370bed0-3ce5-4c85-a43b-d0dad89e6fa1,Bordeaux,44.909312,-0.645495,Gare,Totem digital,street_digital,71.73,10271,93.35,54.95,False,ok,Carmila Shopping,restaurant,1184
0e5649a1-955a-43c2-ab10-ad43652b0ac7,Nantes,47.255189,-1.601416,Centre,Grand format digital,premium_digital,62.14,50144,52.86,53.82,False,ok,Galerie Marchande,université,531
531ed3de-6b4e-499e-88a8-436b69d746be,Paris,48.787959,2.373176,Retail Park,DOOH 8m2,street_digital,57.59,5317,84.47,20.31,True,ok,Carmila Shopping,centre commercial,1048
adc57064-3895-4aef-9496-49aa3907de68,Nantes,47.20353,-1.618508,Centre,DOOH 2m2,street_digital,81.24,47638,51.77,50.03,True,ok,Grand Centre,aéroport,303
d4e5f2bb-60ab-4d48-8431-43e44b0f6453,Lyon,45.714654,4.841506,Premium,Grand format digital,digital,52.71,25250,40.89,33.74,True,ok,Carrefour City Mall,stade,1187
42855bc8-98cf-41b7-85dc-91f3cc45ee34,Nantes,47.140761,-1.618678,Gare,Écran galerie,digital,86.45,32182,32.47,51.42,False,ok,Retail Avenue,gare,623
96c092f1-9bdd-473f-8054-f08f78af22bc,Nantes,47.264021,-1.58796,Retail Park,Grand format digital,digital,83.31,74045,69.64,51.5,False,ok,Grand Centre,gare,197
a7795f36-ad7c-45dd-85b7-71d3676169a1,Paris,48.870068,2.352656,Université,DOOH 8m2,street_digital,91.9,21835,24.27,53.09,True,maintenance,Carrefour City Mall,gare,584
c17c60d0-b967-44f1-bc74-64452b19fab5,Bordeaux,44.852923,-0.560099,Gare,Totem digital,street_digital,68.06,77703,62.39,38.73,True,ok,Carmila Shopping,université,694
f53429a0-7f2e-48da-a005-0f53cb050506,Lille,50.599788,3.097598,Quartier Affaires,DOOH 8m2,mall_screen,48.99,61268,66.59,57.22,False,ok,Carrefour City Mall,restaurant,580
aa5e97e5-555a-408d-80f8-c6bbb54b5f7d,Marseille,43.262098,5.35991,Retail Park,Totem digital,digital,74.88,40851,65.88,89.04,True,maintenance,Carmila Shopping,stade,621
fd6564d0-b5ab-4be3-8a52-3ed81330e65b,Paris,48.918954,2.390987,Retail Park,Écran galerie,mall_screen,53.55,38130,65.36,68.82,False,ok,Carrefour City Mall,université,269
4e61c3b5-4176-4108-b9d7-95bf57bc8f1a,Toulouse,43.592472,1.408469,Retail Park,DOOH 2m2,digital,45.2,18346,67.78,34.65,True,ok,Carrefour City Mall,cinéma,385
20ee4385-d445-4b3c-8869-3448661d85ee,Bordeaux,44.763565,-0.600125,Centre,Totem digital,premium_digital,75.39,57533,29.56,38.12,True,ok,Carmila Shopping,stade,290
62d3ace4-c713-471a-ac40-aea260604224,Marseille,43.341319,5.431262,Premium,DOOH 8m2,street_digital,67.35,82551,76.21,84.43,True,ok,Carrefour City Mall,stade,447
c9afdaf5-832e-4519-8544-179195d720bb,Toulouse,43.672618,1.489382,Zone Commerciale,DOOH 8m2,premium_digital,67.64,33727,40.01,74.05,False,ok,Retail Avenue,stade,796
ab3c0a53-0c84-4a77-bb79-f1244c723f25,Marseille,43.347786,5.429212,Université,Grand format digital,street_digital,57.26,26513,49.88,35.9,False,ok,Galerie Marchande,université,758
e6ec4392-2abf-465f-962b-d6aa7e4637f9,Paris,48.795055,2.427464,Retail Park,Grand format digital,digital,54.82,35995,22.87,59.74,True,ok,Retail Avenue,cinéma,469
47c28d98-d695-4c14-9cf0-d377cd07d0c4,Marseille,43.223602,5.359569,Centre,Totem digital,mall_screen,73.6,71775,71.51,85.52,True,ok,Carrefour City Mall,cinéma,695
c0cedb96-a486-437b-9771-10de2ec69c23,Bordeaux,44.807286,-0.593857,Gare,Grand format digital,mall_screen,67.13,39952,61.58,29.39,True,ok,Retail Avenue,aéroport,80
056981d1-7dfd-4f27-9b6f-a23e137f1708,Marseille,43.262406,5.358582,Université,DOOH 8m2,digital,76.9,43437,54.87,48.16,False,ok,Grand Centre,stade,1135
