panel_id,city,arrondissement,latitude,longitude,address,district,format,screen_type,visibility_score,daily_traffic,audience_csp_plus,audience_young_active,availability,maintenance_status,mall_name,poi_nearby,price_per_day
75-851-112-0302,Paris,12,48.8466723,2.4137008,14 AV. DE LA PTE DE VINCENNES,Université,Grand format digital,premium_digital,54.21,111615,76.2,64.8,False,ok,Carrefour City Mall,université,21
75-851-101-0093,Paris,1,48.8652921,2.3428829,47 RUE ETIENNE MARCEL,Université,Totem digital,mall_screen,64.35,239636,51.85,34.87,True,ok,Carmila Shopping,centre commercial,30
75-851-101-0094,Paris,1,48.8638892,2.3487564,RUE TURBIGO/RUE ETIENNE MARCEL,Retail Park,DOOH 2m2,street_digital,81.24,99689,62.78,60.57,True,ok,Grand Centre,gare,20
75-851-101-0104,Paris,1,48.8605568,2.3420436,146 RUE DE RIVOLI,Gare,DOOH 8m2,mall_screen,45.23,60742,69.2,83.46,False,ok,Carrefour City Mall,aéroport,19
75-851-101-0105,Paris,1,48.862075,2.3394961,149 RUE ST HONORE,Retail Park,Écran galerie,premium_digital,97.53,285075,36.38,26.37,True,ok,Retail Avenue,aéroport,16
75-851-101-0107,Paris,1,48.8593805,2.3455216,RUE DE RIVOLI,Retail Park,DOOH 2m2,premium_digital,53.71,103459,69.65,57.77,True,ok,Carrefour City Mall,centre commercial,29
75-851-101-0108,Paris,1,48.8590952,2.3463062,RUE DE RIVOLI,Université,Écran galerie,premium_digital,72.12,116455,67.63,70.88,True,ok,Carrefour City Mall,cinéma,26
75-851-101-0109,Paris,1,48.8594291,2.3452864,63 RUE DE RIVOLI,Quartier Affaires,Totem digital,digital,61.69,129463,23.02,69.37,True,ok,Carrefour City Mall,gare,23
75-851-101-0123,Paris,1,48.8612264,2.3496852,41 BOULEVARD SEBASTOPOL,Centre,Grand format digital,digital,51.63,149676,94.45,70.79,True,ok,Retail Avenue,centre commercial,29
75-851-101-0124,Paris,1,48.866779,2.334025,26 AVENUE DE L'OPERA,Retail Park,Totem digital,digital,63.6,176137,51.66,56.0,False,ok,Carmila Shopping,stade,15
